domain,category,region,rank
bing.com,tech,US,1
aliexpress.com,e-commerce,CN,2
signal.org,social_media,US,3
viber.com,social_media,EU,4
wechat.com,social_media,CN,5
faz.net,news,DE,6
nouvelobs.com,news,FR,7
ilmessaggero.it,news,IT,8
elconfidencial.com,news,ES,9
mirror.co.uk,news,UK,10
wish.com,e-commerce,US,11
lidl.de,e-commerce,DE,12
boulanger.com,e-commerce,FR,13
mediaworld.it,e-commerce,IT,14
elcorteingles.pt,e-commerce,PT,15
peacocktv.com,entertainment,US,16
prosieben.de,entertainment,DE,17
molotov.tv,entertainment,FR,18
raiplay.it,entertainment,IT,19
mitele.es,entertainment,ES,20
yale.edu,education,US,21
kcl.ac.uk,education,UK,22
tum.de,education,DE,23
polytechnique.edu,education,FR,24
uam.es,education,ES,25
data.gov.uk,government,UK,26
service-civique.gouv.fr,government,FR,27
inps.it,government,IT,28
seg-social.es,government,ES,29
cbs.nl,government,NL,30
ubs.com,finance,CH,31
ing.nl,finance,NL,32
credem.it,finance,IT,33
bankinter.com,finance,ES,34
dkb.de,finance,DE,35
swiss.com,travel,CH,36
aegeanair.com,travel,GR,37
brusselsairlines.com,travel,BE,38
lot.com,travel,PL,39
aeroflot.com,travel,RU,40
michaelpage.com,employment,UK,41
guliver.de,employment,DE,42
regionsjob.com,employment,FR,43
subito.it.jobs,employment,IT,44
tecnoempleo.com,employment,ES,45
medlineplus.gov,health,US,46
gesundheitsinformation.de,health,DE,47
ameli.fr,health,FR,48
salute.gov.it,health,IT,49
sanidad.gob.es,health,ES,50
vinted.de,marketplace,DE,51
anibis.ch,marketplace,CH,52
custojusto.pt,marketplace,PT,53
bazos.cz,marketplace,CZ,54
gratka.pl,marketplace,PL,55
handelsblatt.de,news,DE,56
leparisien.fr,news,FR,57
ilgiornale.it,news,IT,58
abc.net.au,news,AU,59
reuters.com,news,US,60
notino.de,e-commerce,DE,61
showroomprive.com,e-commerce,FR,62
yoox.com,e-commerce,IT,63
spartoo.com,e-commerce,FR,64
galaxus.ch,e-commerce,CH,65
discoveryplus.com,entertainment,US,66
tvnow.de,entertainment,DE,67
salto.fr,entertainment,FR,68
timvision.it,entertainment,IT,69
filmin.es,entertainment,ES,70
columbia.edu,education,US,71
ed.ac.uk,education,UK,72
hu-berlin.de,education,DE,73
dauphine.psl.eu,education,FR,74
sapienza.it,education,IT,75
bmg.bund.de,government,DE,76
diplomatie.gouv.fr,government,FR,77
esteri.it,government,IT,78
exteriores.gob.es,government,ES,79
government.nl,government,NL,80
postbank.de,finance,DE,81
creditagricole.fr,finance,FR,82
bancapopolare.it,finance,IT,83
abanca.com,finance,ES,84
kbc.be,finance,BE,85
wizzair.com,travel,HU,86
pegasus.com.tr,travel,TR,87
icelandair.com,travel,IS,88
sas.se,travel,SE,89
luxair.lu,travel,LU,90
jobteaser.com,employment,FR,91
karriere.at,employment,AT,92
jobs.ch,employment,CH,93
pracuj.pl,employment,PL,94
jobnet.dk,employment,DK,95
patientlikeame.com,health,US,96
aponet.de,health,DE,97
doctoralia.com,health,ES,98
miodottore.it,health,IT,99
kry.se,health,SE,100
