domain,category,region,rank
google.com,tech,US,1
amazon.com,e-commerce,US,2
twitter.com,social_media,US,3
microsoft.com,tech,US,4
apple.com,tech,US,5
bild.de,news,DE,6
mediapart.fr,news,FR,7
ansa.it,news,IT,8
elmundo.es,news,ES,9
telegraph.co.uk,news,UK,10
shopify.com,e-commerce,US,11
walmart.com,e-commerce,US,12
thalia.de,e-commerce,DE,13
aboutyou.de,e-commerce,DE,14
privalia.com,e-commerce,ES,15
twitch.com,entertainment,US,16
hulu.com,entertainment,US,17
arte.tv,entertainment,FR,18
zdf.de,entertainment,DE,19
rai.it,entertainment,IT,20
mit.edu,education,US,21
ox.ac.uk,education,UK,22
sorbonne-universite.fr,education,FR,23
lmu.de,education,DE,24
polimi.it,education,IT,25
bundestag.de,government,DE,26
assemblee-nationale.fr,government,FR,27
governo.it,government,IT,28
gobierno.es,government,ES,29
rijksoverheid.nl,government,NL,30
hsbc.com,finance,UK,31
bnpparibas.com,finance,FR,32
deutschebank.de,finance,DE,33
unicredit.it,finance,IT,34
santander.com,finance,ES,35
booking.nl,travel,NL,36
lufthansa.com,travel,DE,37
airfrance.com,travel,FR,38
alitalia.com,travel,IT,39
iberia.com,travel,ES,40
upwork.com,employment,US,41
stepstone.de,employment,DE,42
pole-emploi.fr,employment,FR,43
infojobs.it,employment,IT,44
infojobs.net,employment,ES,45
nhs.uk,health,UK,46
doctissimo.fr,health,FR,47
netdoktor.de,health,DE,48
doctolib.fr,health,FR,49
saludcastillayleon.es,health,ES,50
leboncoin.fr,marketplace,FR,51
marktplaats.nl,marketplace,NL,52
subito.it,marketplace,IT,53
wallapop.com,marketplace,ES,54
kleinanzeigen.de,marketplace,DE,55
welt.de,news,DE,56
liberation.fr,news,FR,57
lastampa.it,news,IT,58
lavanguardia.com,news,ES,59
independent.co.uk,news,UK,60
cdkeys.com,e-commerce,UK,61
coolblue.nl,e-commerce,NL,62
pccomponentes.com,e-commerce,ES,63
unieuro.it,e-commerce,IT,64
thomann.de,e-commerce,DE,65
primevideo.com,entertainment,US,66
dazn.com,entertainment,UK,67
canal-plus.com,entertainment,FR,68
joyn.de,entertainment,DE,69
rtve.es,entertainment,ES,70
cam.ac.uk,education,UK,71
ethz.ch,education,CH,72
uva.nl,education,NL,73
uab.cat,education,ES,74
unimi.it,education,IT,75
senato.it,government,IT,76
congreso.es,government,ES,77
tweedekamer.nl,government,NL,78
parlement.com,government,FR,79
admin.ch,government,CH,80
barclays.co.uk,finance,UK,81
commerzbank.de,finance,DE,82
bbva.com,finance,ES,83
intesasanpaolo.com,finance,IT,84
rabobank.nl,finance,NL,85
easyjet.com,travel,UK,86
tui.com,travel,DE,87
sncf.com,travel,FR,88
trenitalia.com,travel,IT,89
vueling.com,travel,ES,90
reed.co.uk,employment,UK,91
monster.de,employment,DE,92
catho.com.br,employment,BR,93
randstad.nl,employment,NL,94
adecco.com,employment,CH,95
webmd.com,health,US,96
mayoclinic.org,health,US,97
helsenorge.no,health,NO,98
sundhed.dk,health,DK,99
1177.se,health,SE,100
