domain,category,region,rank
cisco.com,tech,US,1
macys.com,e-commerce,US,2
kakaotalk.com,social_media,KR,3
clubhouse.com,social_media,US,4
badoo.com,social_media,EU,5
ndr.de,news,DE,6
europe1.fr,news,FR,7
internazionale.it,news,IT,8
lainformacion.com,news,ES,9
itv.com,news,UK,10
komplett.no,e-commerce,NO,11
proshop.dk,e-commerce,DK,12
jimms.fi,e-commerce,FI,13
azerty.nl,e-commerce,NL,14
cyberport.de,e-commerce,DE,15
standup.com,entertainment,US,16
nitro.de,entertainment,DE,17
europe1.fm,entertainment,FR,18
deejay.it,entertainment,IT,19
movistarplus.es,entertainment,ES,20
carnegiemellon.edu,education,US,21
bath.ac.uk,education,UK,22
uni-goettingen.de,education,DE,23
imt.fr,education,FR,24
polito.it,education,IT,25
nih.gov,government,US,26
umweltbundesamt.de,government,DE,27
ademe.fr,government,FR,28
minambiente.it,government,IT,29
miteco.gob.es,government,ES,30
raiffeisen.at,finance,AT,31
banquepopulaire.fr,finance,FR,32
ubi.it,finance,IT,33
unicajabanco.com,finance,ES,34
seb.se,finance,SE,35
hostelworld.com,travel,IE,36
booking.fr,travel,FR,37
hrs.de,travel,DE,38
trivago.com,travel,DE,39
hoteles.com,travel,ES,40
simplyhired.com,employment,US,41
cwjobs.co.uk,employment,UK,42
indeed.fr,employment,FR,43
indeed.de,employment,DE,44
indeed.es,employment,ES,45
goodrx.com,health,US,46
dak.de,health,DE,47
eurekasante.fr,health,FR,48
issalute.it,health,IT,49
infosalus.com,health,ES,50
poshmark.com,marketplace,US,51
vide-dressing.com,marketplace,FR,52
rebelle.com,marketplace,DE,53
grailed.com,marketplace,US,54
lottiefiles.com,marketplace,EU,55
hessenschau.de,news,DE,56
midilibre.fr,news,FR,57
leggo.it,news,IT,58
heraldo.es,news,ES,59
politico.com,news,US,60
breuninger.com,e-commerce,DE,61
galerieslafayette.com,e-commerce,FR,62
rinascente.it,e-commerce,IT,63
tradeinn.com,e-commerce,ES,64
johnlewis.com,e-commerce,UK,65
crackle.com,entertainment,US,66
welt.tv,entertainment,DE,67
ocs.fr,entertainment,FR,68
now.it,entertainment,IT,69
seriesyonkis.com,entertainment,ES,70
georgetown.edu,education,US,71
leeds.ac.uk,education,UK,72
uni-stuttgart.de,education,DE,73
em-lyon.com,education,FR,74
unipi.it,education,IT,75
bamf.de,government,DE,76
ofpra.gouv.fr,government,FR,77
questure.poliziadistato.it,government,IT,78
extranjeros.gob.es,government,ES,79
ind.nl,government,NL,80
danskebank.dk,finance,DK,81
sparebank1.no,finance,NO,82
aktia.fi,finance,FI,83
bgl.lu,finance,LU,84
bcee.lu,finance,LU,85
thalys.com,travel,EU,86
ouigo.es,travel,ES,87
ntv.it,travel,IT,88
arriva.nl,travel,NL,89
flix.com,travel,DE,90
glassdoor.co.uk,employment,UK,91
expertini.com,employment,EU,92
talent.com,employment,CA,93
jooble.org,employment,UA,94
careerjet.com,employment,UK,95
aok.de,health,DE,96
cnam.fr,health,FR,97
ars.toscana.it,health,IT,98
mscbs.gob.es,health,ES,99
sundhedsguiden.dk,health,DK,100
