domain,category,region,rank
ibm.com,tech,US,1
newegg.com,e-commerce,US,2
kakao.com,social_media,KR,3
douyin.com,social_media,CN,4
strava.com,social_media,US,5
rp-online.de,news,DE,6
francetvinfo.fr,news,FR,7
huffingtonpost.it,news,IT,8
diariodesevilla.es,news,ES,9
standard.co.uk,news,UK,10
cdon.com,e-commerce,SE,11
elkjop.no,e-commerce,NO,12
power.dk,e-commerce,DK,13
gigantti.fi,e-commerce,FI,14
leen-bakker.nl,e-commerce,NL,15
britbox.com,entertainment,UK,16
toggo.de,entertainment,DE,17
mycanal.fr,entertainment,FR,18
infinity.it,entertainment,IT,19
flixole.com,entertainment,ES,20
northwestern.edu,education,US,21
st-andrews.ac.uk,education,UK,22
uni-koeln.de,education,DE,23
edhec.edu,education,FR,24
unina.it,education,IT,25
cdc.gov,government,US,26
zoll.de,government,DE,27
impots.gouv.fr,government,FR,28
agenziadelleentrate.gov.it,government,IT,29
dgt.es,government,ES,30
wise.de,finance,DE,31
lcl.fr,finance,FR,32
bancobpm.it,finance,IT,33
liberbank.com,finance,ES,34
handelsbanken.se,finance,SE,35
getbybus.com,travel,HR,36
busbud.com,travel,CA,37
ferry.to,travel,UK,38
directferries.com,travel,UK,39
aferry.com,travel,UK,40
snagajob.com,employment,US,41
s1jobs.com,employment,UK,42
emploi-store.fr,employment,FR,43
cliclavoro.gov.it,employment,IT,44
infoempleo.com,employment,ES,45
verywellhealth.com,health,US,46
barmer.de,health,DE,47
vidal.fr,health,FR,48
auxologico.it,health,IT,49
quironsalud.es,health,ES,50
mercari.com,marketplace,JP,51
letgo.com,marketplace,US,52
kijiji.ca,marketplace,CA,53
mobile.de,marketplace,DE,54
autoscout24.de,marketplace,DE,55
wdr.de,news,DE,56
franceinter.fr,news,FR,57
skytg24.it,news,IT,58
nius.es,news,ES,59
washingtonpost.com,news,US,60
viking.de,e-commerce,DE,61
manomano.fr,e-commerce,FR,62
leroy-merlin.it,e-commerce,IT,63
bricomart.es,e-commerce,ES,64
gamma.nl,e-commerce,NL,65
mubi.com,entertainment,UK,66
tele5.de,entertainment,DE,67
radiofrance.fr,entertainment,FR,68
radiorai.it,entertainment,IT,69
cope.radio,entertainment,ES,70
duke.edu,education,US,71
exeter.ac.uk,education,UK,72
uni-hamburg.de,education,DE,73
univ-lyon1.fr,education,FR,74
unige.it,education,IT,75
destatis.de,government,DE,76
insee.fr,government,FR,77
istat.it,government,IT,78
ine.es,government,ES,79
cbs.gov.il,government,IL,80
swedbank.se,finance,SE,81
dnb.no,finance,NO,82
jyske.dk,finance,DK,83
op.fi,finance,FI,84
erste.at,finance,AT,85
baltictravel.com,travel,LV,86
tallink.com,travel,EE,87
vikingline.com,travel,FI,88
polferries.pl,travel,PL,89
dfds.com,travel,DK,90
cvbankas.lt,employment,LT,91
cvkeskus.ee,employment,EE,92
profesia.sk,employment,SK,93
cvonline.lv,employment,LV,94
myperfectresume.com,employment,US,95
tk.de,health,DE,96
assurance-maladie.fr,health,FR,97
asst-fbf-sacco.it,health,IT,98
fisterra.com,health,ES,99
nettdoktor.no,health,NO,100
