domain,category,region,rank
intel.com,tech,US,1
nordstrom.com,e-commerce,US,2
parler.com,social_media,US,3
gettr.com,social_media,US,4
diaspora.social,social_media,EU,5
mdr.de,news,DE,6
rtl.fr,news,FR,7
tg24.sky.it,news,IT,8
eldiario.es,news,ES,9
channel4.com,news,UK,10
dustin.se,e-commerce,SE,11
multitronic.fi,e-commerce,FI,12
computersalg.dk,e-commerce,DK,13
redcoon.de,e-commerce,DE,14
rueducommerce.fr,e-commerce,FR,15
vudu.com,entertainment,US,16
sixx.de,entertainment,DE,17
cstar.fr,entertainment,FR,18
focus.it,entertainment,IT,19
dmax.es,entertainment,ES,20
nyu.edu,education,US,21
sheffield.ac.uk,education,UK,22
uni-muenster.de,education,DE,23
univ-toulouse.fr,education,FR,24
uniroma3.it,education,IT,25
fda.gov,government,US,26
bfarm.de,government,DE,27
ansm.sante.fr,government,FR,28
aifa.gov.it,government,IT,29
aemps.gob.es,government,ES,30
revolut.de,finance,DE,31
orange-bank.fr,finance,FR,32
widiba.it,finance,IT,33
arquia.com,finance,ES,34
monese.com,finance,UK,35
blablacar.com,travel,FR,36
carpooling.com,travel,DE,37
amtrak.com,travel,US,38
trainose.gr,travel,GR,39
cp.pt,travel,PT,40
theworkfoundation.com,employment,UK,41
emploitic.com,employment,DZ,42
tanqeeb.com,employment,AE,43
wuzzuf.net,employment,EG,44
bestjobs.eu,employment,RO,45
healthgrades.com,health,US,46
ikk.de,health,DE,47
info-radiologie.ch,health,CH,48
fondazioneveronesi.it,health,IT,49
fundaciondelcorazon.com,health,ES,50
offerup.com,marketplace,US,51
5miles.com,marketplace,US,52
bolha.com,marketplace,SI,53
bazos.sk,marketplace,SK,54
ss.lv,marketplace,LV,55
swr.de,news,DE,56
laprovence.com,news,FR,57
gazzettadelsud.it,news,IT,58
diariovasco.com,news,ES,59
bbc.co.uk.news,news,UK,60
intersport.de,e-commerce,DE,61
decathlon.it,e-commerce,IT,62
decathlon.es,e-commerce,ES,63
hema.nl,e-commerce,NL,64
argos.co.uk,e-commerce,UK,65
tubi.tv,entertainment,US,66
kika.de,entertainment,DE,67
lumni.fr,entertainment,FR,68
boing.it,entertainment,IT,69
clan.rtve.es,entertainment,ES,70
brown.edu,education,US,71
birmingham.ac.uk,education,UK,72
tu-dresden.de,education,DE,73
univ-grenoble-alpes.fr,education,FR,74
unict.it,education,IT,75
bka.de,government,DE,76
police-nationale.interieur.gouv.fr,government,FR,77
poliziadistato.it,government,IT,78
policia.es,government,ES,79
politie.nl,government,NL,80
eurobank.gr,finance,GR,81
pko.pl,finance,PL,82
csob.cz,finance,CZ,83
luminor.ee,finance,EE,84
citadele.lv,finance,LV,85
visitlondon.com,travel,UK,86
visitberlin.de,travel,DE,87
parisinfo.com,travel,FR,88
turismoroma.it,travel,IT,89
spain.info,travel,ES,90
linkedin.es,employment,ES,91
linkedin.nl,employment,NL,92
linkedin.se,employment,SE,93
jobborse.de,employment,DE,94
emploi.org,employment,FR,95
knappschaft.de,health,DE,96
mgen.fr,health,FR,97
policlinicogemelli.it,health,IT,98
mapfresalud.es,health,ES,99
zorgwijzer.nl,health,NL,100
