domain,category,region,rank
oracle.com,tech,US,1
wayfair.com,e-commerce,US,2
threads.net,social_media,US,3
bluesky.social,social_media,US,4
nextdoor.com,social_media,US,5
focus.de,news,DE,6
huffingtonpost.fr,news,FR,7
tgcom24.mediaset.it,news,IT,8
ondacero.es,news,ES,9
express.co.uk,news,UK,10
amazon.it,e-commerce,IT,11
mediamarkt.es,e-commerce,ES,12
conrad.de,e-commerce,DE,13
laredoute.fr,e-commerce,FR,14
bol.com.be,e-commerce,BE,15
appletv.com,entertainment,US,16
sat1.de,entertainment,DE,17
m6.fr,entertainment,FR,18
sky.it,entertainment,IT,19
antena3.com,entertainment,ES,20
berkeley.edu,education,US,21
bristol.ac.uk,education,UK,22
fu-berlin.de,education,DE,23
univ-paris1.fr,education,FR,24
ub.edu,education,ES,25
usa.gov,government,US,26
bmi.bund.de,government,DE,27
interieur.gouv.fr,government,FR,28
interno.gov.it,government,IT,29
interior.gob.es,government,ES,30
transferwise.com,finance,UK,31
degiro.com,finance,NL,32
directa.it,finance,IT,33
selfbank.es,finance,ES,34
swissquote.com,finance,CH,35
omio.com,travel,DE,36
rome2rio.com,travel,AU,37
thetrainline.com,travel,UK,38
bahn.de,travel,DE,39
oui.sncf,travel,FR,40
dice.com,employment,US,41
jobsite.co.uk,employment,UK,42
hellojob.fr,employment,FR,43
subito.jobs.it,employment,IT,44
domestika.org,employment,ES,45
everydayhealth.com,health,US,46
apotheken-umschau.de,health,DE,47
e-sante.fr,health,FR,48
humanitas.it,health,IT,49
topdoctors.es,health,ES,50
ebay-kleinanzeigen.de,marketplace,DE,51
shpock.com,marketplace,AT,52
tradera.com,marketplace,SE,53
lbc.co.uk,marketplace,UK,54
segundamano.mx,marketplace,MX,55
n-tv.com,news,DE,56
cnews.fr,news,FR,57
adnkronos.com,news,IT,58
cadenaser.com,news,ES,59
aljazeera.com,news,QA,60
bonprix.de,e-commerce,DE,61
kiabi.com,e-commerce,FR,62
pittarosso.com,e-commerce,IT,63
sprinter.es,e-commerce,ES,64
amazon.nl,e-commerce,NL,65
roku.com,entertainment,US,66
kabel1.de,entertainment,DE,67
nrj.fr,entertainment,FR,68
realtime.it,entertainment,IT,69
flooxer.com,entertainment,ES,70
upenn.edu,education,US,71
manchester.ac.uk,education,UK,72
uni-muenchen.de,education,DE,73
paris-saclay.fr,education,FR,74
unifi.it,education,IT,75
bmj.bund.de,government,DE,76
justice.gouv.fr,government,FR,77
giustizia.it,government,IT,78
mjusticia.gob.es,government,ES,79
justitie.nl,government,NL,80
etoro.com,finance,IL,81
wealthsimple.com,finance,CA,82
moneyfarm.com,finance,IT,83
indexa.com,finance,ES,84
flatex.de,finance,DE,85
kayak.de,travel,DE,86
momondo.com,travel,DK,87
opodo.com,travel,UK,88
govoyages.com,travel,FR,89
edreams.com,travel,ES,90
linkedin.fr,employment,FR,91
bayt.com,employment,AE,92
naukri.com,employment,IN,93
seek.com.au,employment,AU,94
jobstreet.com,employment,SG,95
netdoktor.dk,health,DK,96
1881.no,health,NO,97
medicinenet.com,health,US,98
patient.info,health,UK,99
sanitas.es,health,ES,100
