domain,category,region,rank
salesforce.com,tech,US,1
overstock.com,e-commerce,US,2
qq.com,social_media,CN,3
kuaishou.com,social_media,CN,4
ok.ru,social_media,RU,5
br.de,news,DE,6
rfi.fr,news,FR,7
open.online,news,IT,8
rtve.es.noticias,news,ES,9
bbc.com,news,UK,10
alternate.de,e-commerce,DE,11
cdiscount.de,e-commerce,DE,12
priceminister.com,e-commerce,FR,13
ibs.it,e-commerce,IT,14
amazon.co.uk,e-commerce,UK,15
funimation.com,entertainment,US,16
vox.de,entertainment,DE,17
culturebox.francetvinfo.fr,entertainment,FR,18
chili.com,entertainment,IT,19
rakuten.tv,entertainment,EU,20
cornell.edu,education,US,21
nottingham.ac.uk,education,UK,22
uni-bonn.de,education,DE,23
insead.edu,education,FR,24
uniroma1.it,education,IT,25
ema.europa.eu,government,EU,26
auswaertiges-amt.de,government,DE,27
ecologie.gouv.fr,government,FR,28
lavoro.gov.it,government,IT,29
empleo.gob.es,government,ES,30
degiro.nl,finance,NL,31
consorsbank.de,finance,DE,32
fortuneo.fr,finance,FR,33
finecobank.com,finance,IT,34
sabadell.com,finance,ES,35
booking.de,travel,DE,36
lastminute.com,travel,UK,37
voyages-sncf.com,travel,FR,38
volagratis.com,travel,IT,39
logitravel.com,travel,ES,40
ziprecruiter.com,employment,US,41
cv-library.co.uk,employment,UK,42
leboncoin-emploi.fr,employment,FR,43
linkedin.it,employment,IT,44
primerempleo.com,employment,ES,45
rxlist.com,health,US,46
vitanet.de,health,DE,47
docteurclic.com,health,FR,48
doveecomemicuro.it,health,IT,49
redaccionmedica.com,health,ES,50
depop.com,marketplace,UK,51
vestiairecollective.com,marketplace,FR,52
catawiki.com,marketplace,NL,53
hood.de,marketplace,DE,54
todocoleccion.net,marketplace,ES,55
morgenpost.de,news,DE,56
ouest-france.fr,news,FR,57
ilfattoquotidiano.it,news,IT,58
vozpopuli.com,news,ES,59
thesun.co.uk,news,UK,60
tchibo.de,e-commerce,DE,61
3suisses.fr,e-commerce,FR,62
mondadoristore.it,e-commerce,IT,63
elgiganten.se,e-commerce,SE,64
verkkokauppa.com,e-commerce,FI,65
hayu.com,entertainment,UK,66
rtlplus.de,entertainment,DE,67
6play.fr,entertainment,FR,68
dplay.it,entertainment,IT,69
orange.es,entertainment,ES,70
uchicago.edu,education,US,71
durham.ac.uk,education,UK,72
uni-freiburg.de,education,DE,73
essec.edu,education,FR,74
unipd.it,education,IT,75
bafa.de,government,DE,76
caf.fr,government,FR,77
agenziademanio.it,government,IT,78
catastro.meh.es,government,ES,79
kadaster.nl,government,NL,80
comdirect.de,finance,DE,81
caissedepargne.fr,finance,FR,82
chebanca.it,finance,IT,83
imaginbank.com,finance,ES,84
nordea.com,finance,FI,85
skyscanner.de,travel,DE,86
liligo.com,travel,FR,87
volagratis.it,travel,IT,88
rumbo.es,travel,ES,89
stenaline.com,travel,SE,90
glassdoor.de,employment,DE,91
jobijoba.com,employment,FR,92
almalaurea.it,employment,IT,93
computrabajo.com,employment,ES,94
roberthalf.com,employment,US,95
ada.com,health,DE,96
qare.fr,health,FR,97
dica33.it,health,IT,98
saludemia.com,health,ES,99
livi.co.uk,health,UK,100
